query,label
0.png,"0.stl,1.stl,166.stl,220.stl,62.stl"
1.png,"1.stl,3.stl,62.stl,73.stl,77.stl"
2.png,"2.stl,206.stl,71.stl,61.stl,110.stl"
3.png,"3.stl,32.stl,46.stl,226.stl,246.stl"
4.png,"4.stl,60.stl,130.stl,164.stl,101.stl"
5.png,"5.stl,77.stl,136.stl,66.stl,170.stl"
6.png,"6.stl,113.stl,119.stl,116.stl,76.stl"
7.png,"7.stl,226.stl,26.stl,1.stl,100.stl"
8.png,"8.stl,209.stl,156.stl,137.stl,47.stl"
9.png,"9.stl,131.stl,77.stl,121.stl,216.stl"
10.png,"10.stl,73.stl,61.stl,235.stl,251.stl"
11.png,"11.stl,89.stl,249.stl,173.stl,176.stl"
12.png,"226.stl,76.stl,12.stl,108.stl,193.stl"
13.png,"13.stl,241.stl,123.stl,5.stl,56.stl"
14.png,"113.stl,56.stl,108.stl,224.stl,14.stl"
15.png,"15.stl,150.stl,225.stl,161.stl,246.stl"
16.png,"16.stl,123.stl,139.stl,165.stl,77.stl"
17.png,"124.stl,56.stl,34.stl,77.stl,171.stl"
18.png,"18.stl,123.stl,43.stl,86.stl,98.stl"
19.png,"19.stl,172.stl,149.stl,220.stl,97.stl"
20.png,"20.stl,5.stl,72.stl,77.stl,38.stl"
21.png,"21.stl,61.stl,125.stl,158.stl,226.stl"
22.png,"22.stl,195.stl,3.stl,39.stl,61.stl"
23.png,"103.stl,62.stl,69.stl,7.stl,56.stl"
24.png,"24.stl,3.stl,22.stl,95.stl,66.stl"
25.png,"25.stl,45.stl,126.stl,11.stl,68.stl"
26.png,"26.stl,121.stl,77.stl,179.stl,2.stl"
27.png,"27.stl,135.stl,208.stl,161.stl,3.stl"
28.png,"28.stl,110.stl,176.stl,96.stl,95.stl"
29.png,"29.stl,113.stl,8.stl,98.stl,12.stl"
30.png,"30.stl,76.stl,77.stl,197.stl,7.stl"
31.png,"31.stl,216.stl,226.stl,28.stl,96.stl"
32.png,"32.stl,71.stl,56.stl,65.stl,150.stl"
33.png,"3.stl,193.stl,227.stl,16.stl,38.stl"
34.png,"34.stl,39.stl,78.stl,210.stl,231.stl"
35.png,"35.stl,24.stl,194.stl,200.stl,14.stl"
36.png,"233.stl,23.stl,161.stl,117.stl,123.stl"
37.png,"196.stl,37.stl,32.stl,182.stl,76.stl"
38.png,"78.stl,38.stl,41.stl,5.stl,18.stl"
39.png,"39.stl,87.stl,2.stl,91.stl,113.stl"
40.png,"40.stl,209.stl,137.stl,177.stl,117.stl"
41.png,"177.stl,41.stl,26.stl,45.stl,66.stl"
42.png,"42.stl,113.stl,3.stl,96.stl,217.stl"
43.png,"43.stl,1.stl,137.stl,38.stl,145.stl"
44.png,"44.stl,71.stl,49.stl,74.stl,77.stl"
45.png,"45.stl,25.stl,204.stl,117.stl,203.stl"
46.png,"60.stl,113.stl,156.stl,21.stl,22.stl"
47.png,"47.stl,153.stl,121.stl,249.stl,161.stl"
48.png,"72.stl,53.stl,113.stl,114.stl,116.stl"
49.png,"49.stl,139.stl,28.stl,124.stl,161.stl"
50.png,"50.stl,139.stl,130.stl,129.stl,175.stl"
51.png,"51.stl,82.stl,156.stl,148.stl,55.stl"
52.png,"52.stl,103.stl,115.stl,214.stl,116.stl"
53.png,"53.stl,222.stl,2.stl,7.stl,188.stl"
54.png,"54.stl,105.stl,243.stl,194.stl,29.stl"
55.png,"55.stl,121.stl,248.stl,76.stl,117.stl"
56.png,"56.stl,7.stl,175.stl,40.stl,71.stl"
57.png,"57.stl,5.stl,219.stl,119.stl,19.stl"
58.png,"58.stl,91.stl,113.stl,85.stl,128.stl"
59.png,"59.stl,113.stl,82.stl,101.stl,105.stl"
60.png,"60.stl,136.stl,206.stl,0.stl,56.stl"
61.png,"61.stl,153.stl,7.stl,69.stl,96.stl"
62.png,"62.stl,24.stl,203.stl,153.stl,183.stl"
63.png,"47.stl,131.stl,46.stl,112.stl,142.stl"
64.png,"113.stl,64.stl,36.stl,75.stl,217.stl"
65.png,"65.stl,224.stl,123.stl,12.stl,22.stl"
66.png,"66.stl,14.stl,50.stl,58.stl,113.stl"
67.png,"67.stl,154.stl,31.stl,51.stl,231.stl"
68.png,"68.stl,113.stl,66.stl,76.stl,137.stl"
69.png,"69.stl,113.stl,89.stl,161.stl,46.stl"
70.png,"70.stl,113.stl,242.stl,43.stl,51.stl"
71.png,"71.stl,44.stl,218.stl,121.stl,46.stl"
72.png,"72.stl,3.stl,82.stl,121.stl,193.stl"
73.png,"73.stl,212.stl,71.stl,10.stl,38.stl"
74.png,"74.stl,121.stl,182.stl,44.stl,218.stl"
75.png,"75.stl,51.stl,138.stl,222.stl,133.stl"
76.png,"76.stl,215.stl,237.stl,31.stl,67.stl"
77.png,"77.stl,175.stl,104.stl,165.stl,225.stl"
78.png,"78.stl,46.stl,19.stl,38.stl,176.stl"
79.png,"82.stl,86.stl,53.stl,62.stl,95.stl"
80.png,"199.stl,65.stl,91.stl,161.stl,26.stl"
81.png,"81.stl,123.stl,207.stl,36.stl,56.stl"
82.png,"82.stl,154.stl,203.stl,5.stl,60.stl"
83.png,"83.stl,130.stl,49.stl,156.stl,112.stl"
84.png,"84.stl,132.stl,58.stl,118.stl,150.stl"
85.png,"85.stl,225.stl,160.stl,6.stl,149.stl"
86.png,"86.stl,245.stl,142.stl,149.stl,205.stl"
87.png,"77.stl,84.stl,36.stl,82.stl,186.stl"
88.png,"232.stl,3.stl,210.stl,239.stl,26.stl"
89.png,"4.stl,26.stl,101.stl,92.stl,34.stl"
90.png,"29.stl,87.stl,107.stl,108.stl,226.stl"
91.png,"91.stl,243.stl,138.stl,100.stl,80.stl"
92.png,"92.stl,24.stl,9.stl,121.stl,14.stl"
93.png,"93.stl,3.stl,78.stl,75.stl,133.stl"
94.png,"26.stl,94.stl,221.stl,244.stl,181.stl"
95.png,"95.stl,89.stl,101.stl,155.stl,182.stl"
96.png,"96.stl,99.stl,1.stl,156.stl,128.stl"
97.png,"97.stl,24.stl,145.stl,103.stl,116.stl"
98.png,"98.stl,103.stl,12.stl,31.stl,121.stl"
99.png,"99.stl,165.stl,95.stl,96.stl,68.stl"
100.png,"100.stl,57.stl,192.stl,72.stl,66.stl"
101.png,"69.stl,159.stl,101.stl,108.stl,154.stl"
102.png,"102.stl,61.stl,75.stl,135.stl,183.stl"
103.png,"103.stl,114.stl,12.stl,117.stl,37.stl"
104.png,"130.stl,104.stl,121.stl,175.stl,210.stl"
105.png,"105.stl,215.stl,66.stl,67.stl,31.stl"
106.png,"106.stl,246.stl,96.stl,54.stl,81.stl"
107.png,"107.stl,26.stl,146.stl,181.stl,11.stl"
108.png,"108.stl,111.stl,3.stl,25.stl,133.stl"
109.png,"109.stl,189.stl,46.stl,238.stl,95.stl"
110.png,"110.stl,62.stl,108.stl,196.stl,26.stl"
111.png,"111.stl,113.stl,238.stl,89.stl,138.stl"
112.png,"112.stl,154.stl,49.stl,73.stl,99.stl"
113.png,"69.stl,156.stl,192.stl,2.stl,82.stl"
114.png,"114.stl,203.stl,68.stl,103.stl,177.stl"
115.png,"115.stl,168.stl,112.stl,121.stl,113.stl"
116.png,"214.stl,186.stl,116.stl,52.stl,103.stl"
117.png,"91.stl,3.stl,58.stl,207.stl,117.stl"
118.png,"195.stl,49.stl,179.stl,186.stl,3.stl"
119.png,"119.stl,112.stl,113.stl,133.stl,68.stl"
120.png,"120.stl,112.stl,7.stl,217.stl,249.stl"
121.png,"121.stl,44.stl,32.stl,175.stl,103.stl"
122.png,"122.stl,191.stl,115.stl,192.stl,38.stl"
123.png,"123.stl,110.stl,246.stl,75.stl,11.stl"
124.png,"196.stl,62.stl,103.stl,56.stl,124.stl"
125.png,"125.stl,235.stl,136.stl,141.stl,246.stl"
126.png,"126.stl,204.stl,152.stl,168.stl,69.stl"
127.png,"171.stl,127.stl,109.stl,11.stl,14.stl"
128.png,"128.stl,47.stl,212.stl,3.stl,56.stl"
129.png,"129.stl,130.stl,47.stl,227.stl,139.stl"
130.png,"130.stl,50.stl,77.stl,22.stl,113.stl"
131.png,"76.stl,16.stl,99.stl,7.stl,75.stl"
132.png,"132.stl,109.stl,95.stl,121.stl,113.stl"
133.png,"133.stl,249.stl,113.stl,210.stl,116.stl"
134.png,"134.stl,226.stl,61.stl,128.stl,161.stl"
135.png,"135.stl,7.stl,175.stl,110.stl,15.stl"
136.png,"136.stl,34.stl,49.stl,193.stl,238.stl"
137.png,"137.stl,197.stl,8.stl,209.stl,12.stl"
138.png,"138.stl,123.stl,38.stl,128.stl,233.stl"
139.png,"139.stl,50.stl,129.stl,235.stl,130.stl"
140.png,"140.stl,176.stl,71.stl,121.stl,196.stl"
141.png,"141.stl,125.stl,165.stl,175.stl,212.stl"
142.png,"142.stl,196.stl,101.stl,5.stl,246.stl"
143.png,"62.stl,104.stl,143.stl,69.stl,242.stl"
144.png,"144.stl,73.stl,229.stl,203.stl,77.stl"
145.png,"145.stl,89.stl,246.stl,28.stl,91.stl"
146.png,"91.stl,184.stl,146.stl,3.stl,175.stl"
147.png,"147.stl,91.stl,70.stl,146.stl,156.stl"
148.png,"148.stl,187.stl,62.stl,235.stl,12.stl"
149.png,"149.stl,113.stl,130.stl,134.stl,180.stl"
150.png,"150.stl,113.stl,47.stl,70.stl,43.stl"
151.png,"151.stl,212.stl,230.stl,2.stl,115.stl"
152.png,"204.stl,152.stl,126.stl,98.stl,25.stl"
153.png,"153.stl,58.stl,103.stl,68.stl,76.stl"
154.png,"154.stl,43.stl,101.stl,41.stl,32.stl"
155.png,"155.stl,237.stl,56.stl,69.stl,4.stl"
156.png,"156.stl,225.stl,38.stl,249.stl,7.stl"
157.png,"157.stl,71.stl,206.stl,30.stl,158.stl"
158.png,"86.stl,52.stl,56.stl,61.stl,69.stl"
159.png,"159.stl,113.stl,242.stl,123.stl,46.stl"
160.png,"113.stl,160.stl,43.stl,32.stl,2.stl"
161.png,"161.stl,31.stl,163.stl,219.stl,26.stl"
162.png,"162.stl,189.stl,238.stl,113.stl,91.stl"
163.png,"89.stl,62.stl,184.stl,163.stl,136.stl"
164.png,"164.stl,182.stl,1.stl,46.stl,113.stl"
165.png,"165.stl,22.stl,210.stl,47.stl,109.stl"
166.png,"166.stl,161.stl,129.stl,102.stl,32.stl"
167.png,"113.stl,89.stl,3.stl,32.stl,92.stl"
168.png,"161.stl,77.stl,75.stl,168.stl,181.stl"
169.png,"184.stl,89.stl,2.stl,168.stl,216.stl"
170.png,"170.stl,149.stl,236.stl,130.stl,110.stl"
171.png,"171.stl,38.stl,246.stl,77.stl,78.stl"
172.png,"172.stl,204.stl,160.stl,188.stl,215.stl"
173.png,"173.stl,101.stl,123.stl,3.stl,67.stl"
174.png,"174.stl,31.stl,115.stl,125.stl,165.stl"
175.png,"175.stl,7.stl,77.stl,76.stl,127.stl"
176.png,"176.stl,121.stl,140.stl,117.stl,194.stl"
177.png,"177.stl,23.stl,134.stl,234.stl,39.stl"
178.png,"178.stl,33.stl,67.stl,202.stl,210.stl"
179.png,"179.stl,207.stl,81.stl,49.stl,123.stl"
180.png,"180.stl,195.stl,236.stl,47.stl,11.stl"
181.png,"181.stl,230.stl,2.stl,24.stl,70.stl"
182.png,"32.stl,182.stl,74.stl,121.stl,71.stl"
183.png,"183.stl,46.stl,76.stl,121.stl,39.stl"
184.png,"107.stl,215.stl,83.stl,18.stl,26.stl"
185.png,"185.stl,99.stl,7.stl,117.stl,194.stl"
186.png,"186.stl,129.stl,180.stl,236.stl,249.stl"
187.png,"187.stl,125.stl,194.stl,104.stl,178.stl"
188.png,"188.stl,58.stl,66.stl,246.stl,144.stl"
189.png,"189.stl,24.stl,82.stl,120.stl,63.stl"
190.png,"190.stl,103.stl,117.stl,222.stl,53.stl"
191.png,"191.stl,122.stl,192.stl,23.stl,25.stl"
192.png,"192.stl,121.stl,103.stl,126.stl,230.stl"
193.png,"193.stl,144.stl,77.stl,121.stl,18.stl"
194.png,"194.stl,40.stl,56.stl,58.stl,66.stl"
195.png,"195.stl,153.stl,50.stl,2.stl,59.stl"
196.png,"56.stl,196.stl,230.stl,123.stl,237.stl"
197.png,"197.stl,115.stl,58.stl,0.stl,103.stl"
198.png,"198.stl,212.stl,151.stl,213.stl,125.stl"
199.png,"199.stl,59.stl,102.stl,113.stl,31.stl"
200.png,"200.stl,47.stl,76.stl,125.stl,117.stl"
201.png,"201.stl,65.stl,71.stl,121.stl,220.stl"
202.png,"202.stl,209.stl,137.stl,14.stl,44.stl"
203.png,"203.stl,29.stl,77.stl,80.stl,40.stl"
204.png,"204.stl,126.stl,152.stl,183.stl,49.stl"
205.png,"205.stl,195.stl,180.stl,225.stl,249.stl"
206.png,"206.stl,128.stl,246.stl,4.stl,63.stl"
207.png,"207.stl,188.stl,26.stl,58.stl,117.stl"
208.png,"208.stl,99.stl,220.stl,148.stl,18.stl"
209.png,"209.stl,33.stl,137.stl,172.stl,146.stl"
210.png,"210.stl,195.stl,69.stl,34.stl,171.stl"
211.png,"148.stl,69.stl,211.stl,9.stl,161.stl"
212.png,"212.stl,213.stl,121.stl,187.stl,2.stl"
213.png,"212.stl,38.stl,249.stl,213.stl,91.stl"
214.png,"186.stl,214.stl,217.stl,22.stl,49.stl"
215.png,"215.stl,76.stl,30.stl,26.stl,27.stl"
216.png,"216.stl,76.stl,148.stl,110.stl,109.stl"
217.png,"217.stl,91.stl,154.stl,58.stl,165.stl"
218.png,"182.stl,71.stl,218.stl,82.stl,121.stl"
219.png,"219.stl,62.stl,105.stl,236.stl,130.stl"
220.png,"220.stl,2.stl,35.stl,92.stl,98.stl"
221.png,"221.stl,233.stl,168.stl,199.stl,65.stl"
222.png,"222.stl,117.stl,98.stl,156.stl,103.stl"
223.png,"57.stl,38.stl,240.stl,77.stl,130.stl"
224.png,"224.stl,218.stl,98.stl,121.stl,26.stl"
225.png,"225.stl,113.stl,182.stl,54.stl,131.stl"
226.png,"226.stl,96.stl,7.stl,121.stl,225.stl"
227.png,"227.stl,159.stl,125.stl,3.stl,7.stl"
228.png,"225.stl,113.stl,159.stl,211.stl,112.stl"
229.png,"229.stl,161.stl,137.stl,91.stl,27.stl"
230.png,"230.stl,56.stl,123.stl,121.stl,175.stl"
231.png,"206.stl,226.stl,231.stl,235.stl,49.stl"
232.png,"148.stl,71.stl,127.stl,203.stl,7.stl"
233.png,"233.stl,226.stl,121.stl,161.stl,12.stl"
234.png,"234.stl,148.stl,117.stl,5.stl,36.stl"
235.png,"235.stl,102.stl,49.stl,237.stl,65.stl"
236.png,"236.stl,91.stl,108.stl,36.stl,54.stl"
237.png,"224.stl,237.stl,24.stl,27.stl,114.stl"
238.png,"238.stl,82.stl,22.stl,59.stl,77.stl"
239.png,"239.stl,3.stl,98.stl,168.stl,183.stl"
240.png,"192.stl,222.stl,50.stl,181.stl,150.stl"
241.png,"241.stl,13.stl,127.stl,138.stl,1.stl"
242.png,"242.stl,7.stl,51.stl,68.stl,196.stl"
243.png,"243.stl,73.stl,72.stl,76.stl,21.stl"
244.png,"113.stl,62.stl,244.stl,34.stl,132.stl"
245.png,"245.stl,103.stl,136.stl,147.stl,225.stl"
246.png,"246.stl,136.stl,38.stl,43.stl,66.stl"
247.png,"144.stl,56.stl,157.stl,189.stl,66.stl"
248.png,"248.stl,237.stl,55.stl,102.stl,125.stl"
249.png,"249.stl,11.stl,219.stl,217.stl,46.stl"
250.png,"250.stl,29.stl,248.stl,51.stl,8.stl"
251.png,"251.stl,127.stl,134.stl,148.stl,119.stl"
